SMILES,dataset
COc1ccc(/C=N\NS(=O)(=O)c2ccc(Cl)cc2)cc1COc1ccccc1[N+](=O)[O-],zink
CN1CCC2N=C(SC2C1)C(=O)N[C@@H]1CCCC[C@@H]1CNC(=O)c1ccc(Cl)s1,crossdocked
COCCN1C(=O)C(O)=C(C(=O)c2ccc(OCc3ccccc3)cc2C)[C@@H]1c1ccncc1,zink
COc1ccc(NC(=O)[C@@H]2CCCN2/N=C/c2ccc(OC)c(OCC(C)C)c2)cc1OC,zink
Cc1nnn(Cc2cc(ccc2\C=C\C(=O)N2CCC(CC2)C(O)=O)C(F)(F)F)n1,crossdocked
CCCCCC1CC(=O)C=C(C)C1C(=O)OC,chembl
C[C@]12CCC3C(CC[C@H]4Cc5oc(C=O)cc5C[C@]34C)C1CC[C@@H]2O,chembl
CCC(=O)N1CC[C@@H](C1)Oc1ccc2OCCN(c3cnc(OC)c(OC)c3)c2c1,crossdocked
COC(=O)[C@@H]1C(=O)C2=C(C[C@H]1C)NC(C)=C(C(=O)OCCOc1ccccc1)[C@@H]2c1ccccc1F,zink
CN1C2CCCC1CC(NC(=O)c1[nH]nc3ccccc13)C2,chembl
COc1cc(N/C(=N/S(=O)(=O)c2ccc(C)cc2)Nc2nc(C)cc(C)n2)c(OC)cc1Cl,zink
CN1CC[C@H](N(C)C(=O)N2CC[C@H](N(C)C(=O)c3ccc(-c4ccc(C(F)(F)F)cc4)s3)C2)C1,chembl
CCOC(=O)N1C[C@H]2CC[C@@H](C1)[C@H]2NCCNC(=O)c1cccc(Cl)c1,chembl
COc1ccc(cn1)-c1n[nH]c2cc3NC(=O)N(CCc4ccc(F)cc4)Cc3cc12,crossdocked
CCc1ccc([C@@H]2C(C(=O)c3ccc(OC)c(F)c3)=C(O)C(=O)N2CCN(CC)CC)cc1,zink
Cc1cc(ccn1)-c1nc(-c2ccc(Cl)c(C)c2)n2C[C@@H](CF)OCCc12,crossdocked
Cn1cc(cn1)-c1cc2n(ncc2cn1)-c1cccc(n1)C1(F)CCCNCC1,crossdocked
CC(C)(C)c1ccc(cc1)S(=O)(=O)N1C[C@@H]2C[C@H]1CN2C1CC2CCC1C2,crossdocked
N#CCCN(/N=C/c1ccc(-c2ccc(Br)cc2)o1)C1=NS(=O)(=O)c2ccccc21,zink
CC(C)n1cnc2c(NCc3ccccc3)cc(OCCO)cc21,chembl
Cc1cc(C)nc(/N=C(\Nc2ccccc2Br)NS(=O)(=O)Cc2ccccc2)n1,zink
COCCOC(=O)C1=C(C)NC2=C(C(=O)C[C@@H](c3cccs3)C2)[C@@H]1c1ccc(OC(C)=O)cc1,zink
Nc1nc(N)c2nc(CN3c4ccccc4Cc4ccccc43)cnc2n1,chembl
C=CCCCC1(C)CCCCNC1=O,chembl
FC1(F)CCC(CC1)C(=O)Nc1ncnc2n(CCN3CCCCCC3)ncc12,crossdocked
O=c1ccc(-c2nc3c4c5c(sc4ncn3n2)CCCCC5)n[nH]1,chembl
COCCOC(=O)C1=C(C)NC2=C(C(=O)C[C@H](c3ccccc3)C2)[C@@H]1c1ccc(N(C)C)cc1,zink
COc1cc([C@@H]2NC(=O)NC(c3ccccc3)=C2C(C)=O)c(Cl)c(I)c1O,zink
Clc1ccc(cc1)N1CCN(CCCCCc2cc3ccccn3n2)CC1,crossdocked
CCCC(=O)c1sc(NC(=O)c2ccco2)nc1-c1ccccc1,crossdocked
CC(C)COC(=O)[C@@H](Cn1ccnc1)NC(=O)c1nc2ccc(Br)cc2s1,chembl
CC(C)Nc1cncc(n1)-c1c[nH]c2ccc(cc12)-c1nc(N)no1,crossdocked
CC(C)C(C)Oc1c(C#N)c(nn1-c1ccc(cn1)S(C)(=O)=O)C(F)(F)F,crossdocked
Fc1ccc(Cc2n[nH]c(=O)c3CCCNc23)cc1C(=O)N1CCN(CC1)C(=O)c1cc[nH]n1,crossdocked
CCc1nc(NC(=O)c2ccccn2)sc1S(=O)(=O)Cc1c(Cl)cccc1Cl,chembl
C[C@H](C(=O)N[C@@H](Cc1coc2ccccc12)B(O)O)c1ccccc1,crossdocked
Cc1ccc(C(=O)N[C@]2(C(F)(F)F)C(=O)N(Cc3ccccn3)C3=C2C(=O)CC(C)(C)C3)cc1,zink
COc1ccc(S(N)(=O)=O)cc1C(=O)NCC1CCCS1,chembl
CCCCOc1ccc(C(=O)C2=C(O)C(=O)N(CCN(CC)CC)[C@H]2c2cccnc2)cc1C,zink
Cc1cc(C)nc(-n2nc(C)c(Cc3ccc(C(C)(C)C)cc3)c2O)n1,chembl
CN1C[C@@H]2C[C@H]1CN2c1cnc(cn1)-c1ccc2cc[nH]c2c1,crossdocked
Nc1nc(-c2ccco2)c2nnn(Cc3ccccn3)c2n1,crossdocked
CC1CCN(Cc2cc(COC(C)C)c3cccnc3c2O)CC1,chembl
C=CCn1c(CCC(=O)Nc2ccccc2F)nnc1SCC(=O)c1ccc(OC)cc1,zink
CC(C)C[C@@H](NC1CCCCC1)C(=O)N1C[C@@H](F)C[C@H]1C(=O)NCc1ccc2c(N)nccc2c1,chembl
O=C(NC1CCCCC1)N(CCN1CCOCC1)Cc1cc2cc3c(cc2nc1O)OCCO3,chembl
N#Cc1ccccc1Cn1ccc2ccc(-c3cc(N)n[nH]3)cc21,chembl
CCC1CN(C(=O)C2CCCN(C(=O)c3ccc(F)cc3)C2)C(CC)CN1CC(C)(C)O,chembl
CC(C)NS(=O)(=O)c1ccc(Nc2nn(c3cc[nH]c(=O)c23)C2(CC#N)CCCC2)cc1,crossdocked
C[C@@H](CN)CC1C[C@]1(C(O)=O)c1cn(cn1)-c1ccccn1,crossdocked
CCOC(=O)/C(=N\Nc1cc(Cl)c(NC(=O)c2ccc(Cl)cc2)cc1OC)C(C)=O,zink
C=CCOC(=O)C1=C(C)NC(=S)N[C@@H]1c1cn(-c2ccccc2)nc1-c1ccc(OCC)cc1,zink
FC(F)(F)Oc1cccc(c1)-c1cnc2ccc(NCC3CCOCC3)nn12,crossdocked
CC(C)(F)c1ccc(cc1)S(=O)(=O)c1ccccc1Cl,crossdocked
CNC[C@@H]([C@H](O)c1ccccc1OC)c1ccc(Cl)c(Cl)c1,crossdocked
N#Cc1ccccc1Cn1ccnc1,chembl
FC(F)(F)c1ccc(NC(=O)Nc2ccc(cc2)C(=O)N2CCOCC2)cc1,crossdocked
CC(=O)Nc1cc(ccn1)-c1cnc(Cl)c(NS(=O)(=O)c2ccc(F)cc2F)c1C,crossdocked
