ID,SMILES,Canonical_SMILES,Docking,LogP,QED,SAS,MW,HBD,HBA,RotatableBonds,TPSA,RingCount,HeavyAtomCount,Toxicity_max,Toxicity_mean,NonToxic_12_Tox21,Fitness,source_file,ToxProb_NR-AR,ToxProb_NR-AR-LBD,ToxProb_NR-AhR,ToxProb_NR-Aromatase,ToxProb_NR-ER,ToxProb_NR-ER-LBD,ToxProb_NR-PPAR-gamma,ToxProb_SR-ARE,ToxProb_SR-ATAD5,ToxProb_SR-HSE,ToxProb_SR-MMP,ToxProb_SR-p53,input_idx,LogP_original,ValidMol,LogP_calc
213,C[C@H1](NC(=O)C1=CC=C2C(=O)N3C(=NC2=C1)CCC3)C4=CC=C5C(=C4)CCC(=O)N5,C[C@H](NC(=O)c1ccc2c(=O)n3c(nc2c1)CCC3)c1ccc2c(c1)CCC(=O)N2,-11.068,2.718400000000001,0.7045070979728698,2.907955457861485,402.4540000000002,2,4,3,93.09,5,30,0.18546474,0.0713364,True,0.9804079153605828,reward_results_27.csv,0.045985006,0.02399077,0.18546474,0.05365077,0.0802057,0.022591291,0.026638689,0.17417347,0.035440166,0.034616537,0.09487356,0.07840617,212,2.718400000000001,True,2.718400000000001
23,CC1=CC2=C(N3CCN(C)CC3)N=CN=C2C=C1C4=CC=C5C(=C4)C(=O)N(C6CCNC6=O)C5=O,Cc1cc2c(N3CCN(C)CC3)ncnc2cc1-c1ccc2c(c1)C(=O)N(C1CCNC1=O)C2=O,-11.039,1.8415199999999998,0.5834675878791529,3.231014518324071,470.5330000000003,1,7,3,98.74000000000001,6,35,0.26437035,0.09246808,True,0.8582215597284916,reward_results_16.csv,0.037860975,0.02454871,0.22548556,0.073513776,0.07251146,0.023399042,0.02852971,0.26437035,0.052498084,0.041367166,0.11715341,0.14837876,22,1.84152,True,1.8415199999999998
191,O=C(CC1=CC=CC(N2CCNC2=O)=C1)NC3=CC=C4C(=C3)C(=O)C5=CC=CC=C5C4=O,O=C(Cc1cccc(N2CCNC2=O)c1)Nc1ccc2c(c1)C(=O)c1ccccc1C2=O,-10.996,3.1728000000000014,0.5250309542332611,2.3040331470782096,425.4440000000002,2,4,4,95.58000000000001,5,32,0.46832797,0.21646482,True,0.8525546161997535,reward_results_17.csv,0.07002391,0.06661892,0.4576906,0.1485024,0.23944932,0.10538416,0.067769125,0.46832797,0.13668515,0.10656042,0.46573928,0.26482654,190,3.1728000000000014,True,3.1728000000000014
142,CC(C)(NC(=O)C1=CC=CC(F)=C1)C(=O)NC2=CC3=C4C(=C2)C(=O)N=CN4CCC3,CC(C)(NC(=O)c1cccc(F)c1)C(=O)Nc1cc2c3c(c1)c(=O)ncn3CCC2,-10.83,2.6289000000000007,0.6941274828357625,2.7421943624085223,408.4330000000002,2,4,4,93.09,4,30,0.18597855,0.07290114,True,0.989608013901735,reward_results_28.csv,0.03687864,0.01904791,0.18597855,0.058773123,0.095409036,0.026090728,0.026011055,0.17069623,0.03403245,0.03910368,0.11883174,0.06396052,141,2.6289000000000007,True,2.6289000000000007
120,CC1=CC=CC=2C(C(=O)NC3=CC=C(C(=O)N4CCN(C5=NC=CC=N5)CC4)C=C3)=C[NH1]C1=2,Cc1cccc2c(C(=O)Nc3ccc(C(=O)N4CCN(c5ncccn5)CC4)cc3)c[nH]c12,-10.764,3.481020000000002,0.5067395525398657,2.2898900838596585,440.5070000000001,2,5,4,94.22,5,33,0.36067927,0.11661274,True,0.7234327447963583,reward_results_7.csv,0.04460656,0.02773956,0.36067927,0.08537402,0.13132225,0.038707282,0.036610268,0.2563744,0.07684738,0.055950347,0.16673404,0.11840737,119,3.481020000000002,True,3.481020000000002
255,C1=CN(C=C2C=C(C3=CC=CC(N4CCNC4=O)=C3)N=C2)C5=CC=CC=C5C1=O,O=C1NCCN1c1cccc(C2=CC(=Cn3ccc(=O)c4ccccc43)C=N2)c1,-10.75,3.4975000000000014,0.753445602022802,3.217985283512175,382.42300000000006,1,3,3,66.69999999999999,5,29,0.48594826,0.21032573,True,0.7162260611487774,reward_results_25.csv,0.055822827,0.058694817,0.45737696,0.1525277,0.17708713,0.08582782,0.07980412,0.48594826,0.14857858,0.13257231,0.4036755,0.28599277,254,3.4975000000000014,True,3.4975000000000014
2,O=C(NC1=CC=CC(CN2CCOCC2)=C1)C3=CC=C4C(=C3)C(=O)C5=CC=CC=C5C4=O,O=C(Nc1cccc(CN2CCOCC2)c1)c1ccc2c(c1)C(=O)c1ccccc1C2=O,-10.724,3.5465000000000027,0.5402351816750564,2.0955245215522638,426.47200000000015,1,5,4,75.71000000000001,5,32,0.4451866,0.19756627,True,0.6949277481193686,reward_results_17.csv,0.053042807,0.04483902,0.4358104,0.14849313,0.2284308,0.08720668,0.058499575,0.42184538,0.12768722,0.09278174,0.4451866,0.22697186,1,3.5465000000000027,True,3.5465000000000027
221,CC1=NOC(C)=C1NC(=O)CNC(=O)C2=CC=C3C(=C2)C(=O)C4=CC=CC=C4C3=O,Cc1noc(C)c1NC(=O)CNC(=O)c1ccc2c(c1)C(=O)c1ccccc1C2=O,-10.633,2.43534,0.5402828684215663,2.261442714056871,403.3940000000002,2,6,4,118.36999999999998,4,30,0.38681623,0.1175547,True,0.9918444815437114,reward_results_28.csv,0.049047172,0.03258758,0.38681623,0.06013157,0.12002153,0.036379233,0.03509826,0.27058855,0.073022835,0.0487831,0.16987762,0.12830287,220,2.43534,True,2.43534
143,C[C@H1]1CC(C(=O)NC2=CC=C3C(=C2)CCCC3=O)N=C(N)N1C4=CC=C5C(=C4)CCNC5=O,C[C@H]1CC(C(=O)Nc2ccc3c(c2)CCCC3=O)N=C(N)N1c1ccc2c(c1)CCNC2=O,-10.631,2.4121000000000006,0.6708337311612028,3.8028922426040683,445.5230000000002,3,6,3,116.88999999999999,5,33,0.24615231,0.10187627,True,0.99056390581568,reward_results_29.csv,0.0591853,0.03500834,0.23612928,0.0749612,0.11236266,0.036330752,0.03234446,0.24615231,0.051017076,0.046352755,0.16836603,0.12430501,142,2.412100000000001,True,2.4121000000000006
45,COC1=CC=C(CCNC(=O)C2=CC=C3C(=C2)C(=O)C4=CC=CC=C4C3=O)C=C1,COc1ccc(CCNC(=O)c2ccc3c(c2)C(=O)c2ccccc2C3=O)cc1,-10.624,3.443100000000002,0.5712001929049603,1.9066332255063951,385.4190000000001,1,4,5,72.47,4,29,0.45246652,0.17200555,True,0.7385225448127193,reward_results_17.csv,0.046808235,0.033732187,0.4205934,0.11123668,0.24831535,0.08432878,0.044003274,0.33823064,0.07728789,0.07798451,0.45246652,0.12907925,44,3.443100000000002,True,3.443100000000002
