SMILES,dataset
CCN(CC)CCN1C(=O)C(O)=C(C(=O)c2cnn(-c3ccccc3)c2C)[C@H]1c1cccs1,zink
CCOc1nc(ncc1F)-c1c[nH]c2ccc(cc12)-c1nnc(NC(C)C)o1,crossdocked
COC(=O)[C@@H]1C(=O)C2=C(C[C@@H]1C)NC(C)=C(C(=O)OC1CCCCC1)[C@H]2c1cccc(OC)c1,zink
COc1ccc(/C=N/CCc2ccc(S(N)(=O)=O)cc2)c(O)c1,chembl
CCN1CCCC1CNC(=O)N1CCC(c2nc(-c3ccc4ccccc4n3)no2)CC1,chembl
COc1cc(-c2c(C#N)c(N)nc3c2c(=O)nc2sccn23)ccc1OCc1cccc(F)c1,zink
CN1CCN(CCCCOc2ccc(NC(=O)NC34CC5CC(CC(C5)C3)C4)cc2)CC1,crossdocked
CC(C)(C)SCCNC(=O)CSc1ccccc1,chembl
COc1ccccc1[C@@H]1C(C(=O)Nc2ccc(Br)cn2)=C(C)NC2=C1C(=O)CCC2,zink
C[C@]12CC[C@@H]3[C@H](CCC4=C/C(=N/OCC(=O)NCCCCC(=O)O)CC[C@@]43C)[C@@H]1CC[C@H]2O,zink
O=C(CSc1nnnn1-c1ccccc1Cl)Nc1ccc2c(c1)OCCO2,chembl
O=C1NCCc2[nH]c(c(Nc3ccccc3)c12)-c1ccncc1,crossdocked
CCc1nc2ccccc2c(C(=O)NCc2ccccc2)c1C,chembl
Nc1nc(N2CC3CCNC3C2)c2oc3ccc(Cl)cc3c2n1,crossdocked
Cc1nc(C)c(C(=O)Nc2nc3ccc(C#N)cc3n2CC(F)(F)F)s1,chembl
N[C@H]1[C@@H]2CN(C[C@H]12)c1nc(Nc2cc([nH]n2)C2CC2)c2sccc2n1,crossdocked
Cc1ccc(NC(=O)c2cc(S(=O)(=O)N3CCOCC3)cn2C)cc1F,chembl
CCc1nnc2ccc(S(=O)(=O)Nc3ccc(Cl)cc3)cn12,chembl
CNC(=O)[C@H]1CC[C@@H](CC1)NC(=O)c1cnc(cc1NC(C)C)-n1ncc2cc(Cl)cnc12,crossdocked
CS(=O)(=O)N1CCC(c2ccnc3ccccc23)CC1,chembl
c1ncc(s1)-c1cc2c(n[nH]c2cn1)-c1ccccn1,crossdocked
C=CCN(CC=C)Cc1cc2ccc(Cl)cc2n(CCS(=O)(=O)c2ccccc2)c1=O,zink
Cc1cc(ccc1F)-c1c(cc2C(=O)NC[C@H](CCN)n12)-c1cccc(OC(F)(F)F)c1,crossdocked
C=C(Cl)CSc1nnc([C@@H](Cc2ccccc2)NC(=O)Cc2ccc3c(c2)OCO3)n1C,zink
CC(C)(C)N1CC2(O)OCCC2(C)C1=O,chembl
CC(C)Cc1nc2n[nH]c(N)c2c2c1COC(C)(C)C2,chembl
C=CCNC(=O)c1ccccc1NC(=O)CN(c1ccccc1CC)S(=O)(=O)c1ccc(C)cc1,zink
C=CCn1c(CNC(=O)c2ccccc2F)nnc1S[C@H](CC)C(=O)Nc1ccccc1,zink
CCOc1ccc(C(=O)C2=C(O)C(=O)N(c3nccs3)[C@H]2c2cccc([N+](=O)[O-])c2)cc1,zink
CCC(COc1nc(N)nc2[nH]cnc12)(OC)OC,chembl
CCOC(=O)CCSC(=S)n1ccnc1.Cl,chembl
CCc1ccc([C@H]2C(C(=O)c3ccc(OC)c(C)c3)=C(O)C(=O)N2CCN(CC)CC)cc1,zink
COc1ccc(-c2cc3cc(F)ccc3[nH]2)cc1F,chembl
COC(=O)c1nc(C)c2c(c1N)C(O)N(Cc1ccccc1)C2=O,chembl
C=CCn1c(SCC(=O)Nc2ccccc2F)nnc1[C@@H](NC(=O)c1ccccc1)C(C)C,zink
